year,mentions,explicit_name_mentions,resolved_mentions,explicit_name_rate,resolution_rate_given_explicit
2015,12446,4894,67,0.39321870480475657,0.013690232938291786
2016,16617,5266,91,0.3169043750376121,0.017280668439042916
2017,18426,5044,78,0.2737436231412135,0.015463917525773196
2018,20506,4829,94,0.2354920511069931,0.019465727893973907
2019,20732,4299,85,0.2073606019679722,0.01977204000930449
2020,22787,4041,83,0.1773379558520209,0.020539470428111852
2021,26642,3757,67,0.14101794159597628,0.017833377694969392
2022,32885,4900,125,0.14900410521514368,0.025510204081632654
