source_document_id,source_company_id,counterparty_raw_name,normalized_name,resolution_status,resolved_entity_id,resolution_method,resolution_confidence,candidate_count,notes
1200586951,SZSE:002323,山东能源国际贸易有限公司,山东能源国际贸易,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200586951,SZSE:002323,无锡电缆厂有限公司,无锡电缆厂,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200586951,SZSE:002323,江苏南瑞淮胜电缆有限公司,江苏南瑞淮胜电缆,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200586951,SZSE:002323,神华宁夏煤业集团有限责任公司.,神华宁夏煤业集团,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200586951,SZSE:002323,神华物资集团有限公司,神华物资,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200591117,SZSE:002693,供应商 A,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200591117,SZSE:002693,供应商 B,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200591117,SZSE:002693,供应商 C,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200591117,SZSE:002693,供应商 D,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200591117,SZSE:002693,供应商 E,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200591117,SZSE:002693,客户 A,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200591117,SZSE:002693,客户 B,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200591117,SZSE:002693,客户 C,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200591117,SZSE:002693,客户 D,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200594610,SZSE:000613,PGS INTERNATIONAL LIMITED,pgsinternational,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200594610,SZSE:000613,三亚百顺国际旅行社有限公司,三亚百顺国际旅行社,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200594610,SZSE:000613,吉进军(三亚盛达国际旅行社有限公司),吉进军三亚盛达国际旅行社,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200594610,SZSE:000613,广州南部假期国际旅行社有限公司三亚分公司,广州南部假期国际旅行社有限公司三亚分公司,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200594610,SZSE:000613,李飞(星海假期旅行社有限公司),李飞星海假期旅行社,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200596731,SZSE:002019,第一名,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200596731,SZSE:002019,第三名,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200596731,SZSE:002019,第二名,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200596731,SZSE:002019,第五名,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200596731,SZSE:002019,第四名,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200596871,SSE:600678,四川大跃建设工程有限公司,四川大跃建设工程,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200596871,SSE:600678,四川夹江规矩特性水泥有限公司,四川夹江规矩特性水泥,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200596871,SSE:600678,四川峨眉山佛光水泥有限公司,四川峨眉山佛光水泥,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200596871,SSE:600678,四川峨眉山西南水泥有限公司,四川峨眉山西南水泥,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200596871,SSE:600678,峨眉山嘉华特种水泥有限公司,峨眉山嘉华特种水泥,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200596871,SSE:600678,成都中铁岷山建筑机电安装工程有限公司,成都中铁岷山建筑机电安装工程,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200596871,SSE:600678,河南众恒工业炉工程技术有限公司,河南众恒工业炉工程技术,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200596871,SSE:600678,河南众恒控制工程有限公司,河南众恒控制工程,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200596871,SSE:600678,绵阳市盛泰金属材料有限公司,绵阳市盛泰金属材料,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200596871,SSE:600678,葛洲坝易普力四川爆破工程有限公司,葛洲坝易普力四川爆破工程,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200597738,SSE:600282,供应商 1,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200597738,SSE:600282,供应商 2,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200597738,SSE:600282,供应商 3,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200597738,SSE:600282,供应商 4,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200597738,SSE:600282,供应商 5,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200597738,SSE:600282,客户 1,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200597738,SSE:600282,客户 2,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200597738,SSE:600282,客户 3,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200597738,SSE:600282,客户 4,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200597738,SSE:600282,客户 5,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200602673,SZSE:002337,第一名,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200602673,SZSE:002337,第三名,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200602673,SZSE:002337,第二名,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200602673,SZSE:002337,第五名,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200602673,SZSE:002337,第四名,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200604166,SZSE:002728,供应商 1,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200604166,SZSE:002728,供应商 2,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200604166,SZSE:002728,供应商 3,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200604166,SZSE:002728,供应商 4,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200604166,SZSE:002728,供应商 5,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200604166,SZSE:002728,客户 1,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200604166,SZSE:002728,客户 2,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200604166,SZSE:002728,客户 3,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200604166,SZSE:002728,客户 4,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200604166,SZSE:002728,客户 5,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200606472,SZSE:002622,上海允祥电气设备有限公司,上海允祥电气设备,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200606472,SZSE:002622,中化吉林长山化工有限公司,中化吉林长山化工,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200606472,SZSE:002622,中国电力建设工程咨询西南公司,中国电力建设工程咨询西南公司,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200606472,SZSE:002622,吉林大地化工股份有限公司,吉林大地化工,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200606472,SZSE:002622,吉林省三和电器有限公司,吉林省三和电器,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200606472,SZSE:002622,天津瑞林异型铜排电气有限公司,天津瑞林异型铜排电气,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200606472,SZSE:002622,山东晨鸿电气有限公司,山东晨鸿电气,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200606472,SZSE:002622,抚顺石化北天集团隆发电控设备厂,抚顺石化北天集团隆发电控设备厂,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200606472,SZSE:002622,泰豪科技股份有限公司电力电气分公司,泰豪科技股份有限公司电力电气分公司,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200606472,SZSE:002622,西门子中压开关技术(无锡)有限公司,西门子中压开关技术无锡,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200606746,SZSE:002699,供应商 1,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200606746,SZSE:002699,供应商 2,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200606746,SZSE:002699,客户 1,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200606746,SZSE:002699,客户 2,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200606746,SZSE:002699,客户 3,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200606746,SZSE:002699,客户 4,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200606746,SZSE:002699,客户 5,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200612995,SZSE:002675,第一名,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200612995,SZSE:002675,第三名,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200612995,SZSE:002675,第二名,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200612995,SZSE:002675,第五名,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200612995,SZSE:002675,第四名,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200613059,SZSE:000158,LA HALLE LIMITED,lahalle,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200613059,SZSE:000158,LPP INTERNATIONAL S.A.,lppinternationalsa,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200613059,SZSE:000158,MEXX EUROPE LIMITED,mexxeurope,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200613059,SZSE:000158,WIMEX VENTURES LIMITED,wimexventures,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200613059,SZSE:000158,中棉集团河北棉花有限公司,中棉集团河北棉花,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200613059,SZSE:000158,天津天纺高新物流有限公司,天津天纺高新物流,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200613059,SZSE:000158,天津市纺织工业供销有限公司,天津市纺织工业供销,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200613059,SZSE:000158,天津市金泰来贸易有限公司,天津市金泰来贸易,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200613059,SZSE:000158,新兴际华国际贸易有限公司,新兴际华国际贸易,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200613059,SZSE:000158,远大海外经济投资发展有限公司,远大海外经济投资发展,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200613070,SZSE:002389,第一名,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200613070,SZSE:002389,第三名,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200613070,SZSE:002389,第二名,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200613070,SZSE:002389,第五名,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200613070,SZSE:002389,第四名,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200613835,SSE:600358,下关幻姿泳装经营部,下关幻姿泳装经营部,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200613835,SSE:600358,南京六合骁营蔬菜专业合作社,南京六合骁营蔬菜专业合作社,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200613835,SSE:600358,南京市丽浩清洁用品销售中心,南京市丽浩清洁用品销售中心,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200613835,SSE:600358,南京雨花台区天富装饰材料经营部,南京雨花台区天富装饰材料经营部,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200613835,SSE:600358,高淳傅坛果蔬专业合作社,高淳傅坛果蔬专业合作社,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200614237,SZSE:000050,供应商 A,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200614237,SZSE:000050,供应商 B,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200614237,SZSE:000050,供应商 C,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200614237,SZSE:000050,供应商 D,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200614237,SZSE:000050,供应商 E,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200614237,SZSE:000050,客户 A,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200614237,SZSE:000050,客户 B,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200614237,SZSE:000050,客户 C,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200614237,SZSE:000050,客户 D,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200614237,SZSE:000050,客户 E,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200614376,SZSE:000408,上海璃澳实业有限公司,上海璃澳实业,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200614376,SZSE:000408,上海秉天实业发展有限公司,上海秉天实业发展,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200614376,SZSE:000408,东台泰德纺织实业有限公司,东台泰德纺织实业,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200614376,SZSE:000408,中航国际煤炭物流有限公司,中航国际煤炭物流,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200614376,SZSE:000408,南京中铁科技开发有限公司,南京中铁科技开发,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200614376,SZSE:000408,南京丰盛产业控股集团有限公司,南京丰盛产业控股,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200614376,SZSE:000408,南京凯裕尔贸易有限公司,南京凯裕尔贸易,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200614376,SZSE:000408,南京赛腾贸易有限公司,南京赛腾贸易,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200615904,SZSE:002270,"CITIC HIC GÁNDARA CENSA, S.A.U(西班牙)",citichicgándaracensasau西班牙,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200615904,SZSE:002270,SKIPPER LIMITED(印度),skipperlimited印度,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200615904,SZSE:002270,上海会通自动化科技发展有限公司,上海会通自动化科技发展,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200615904,SZSE:002270,双盾环境科技有限公司,双盾环境科技,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200615904,SZSE:002270,山东大方自动化技术有限公司,山东大方自动化技术,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200615904,SZSE:002270,成都西南建中机电设备有限公司,成都西南建中机电设备,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200615904,SZSE:002270,泊头市东建铸造有限责任公司,泊头市东建铸造,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200615904,SZSE:002270,济南佳禾伟业机械有限公司,济南佳禾伟业机械,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200615904,SZSE:002270,济南金成广源经贸有限公司,济南金成广源经贸,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200615904,SZSE:002270,青岛东方铁塔股份有限公司,青岛东方铁塔,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200622264,SZSE:002014,供应商一,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200622264,SZSE:002014,供应商三,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200622264,SZSE:002014,供应商二,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200622264,SZSE:002014,供应商五,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200622264,SZSE:002014,供应商四,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200622264,SZSE:002014,客户一,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200622264,SZSE:002014,客户三,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200622264,SZSE:002014,客户二,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200622264,SZSE:002014,客户五,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200622264,SZSE:002014,客户四,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200623706,SSE:600794,公司 张家港保税区佳运国际贸易有限 公司,公司张家港保税区佳运国际贸易,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200623706,SSE:600794,张家港保税区佳运国际贸易有限公司,张家港保税区佳运国际贸易,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200623706,SSE:600794,张家港保税区君安国际贸易有限,张家港保税区君安国际贸易有限,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200623706,SSE:600794,张家港保税区君安国际贸易有限公司,张家港保税区君安国际贸易,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200623706,SSE:600794,张家港保税区泉化国际贸易有限 公司,张家港保税区泉化国际贸易,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200623706,SSE:600794,张家港保税区泉化国际贸易有限公司,张家港保税区泉化国际贸易,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200623706,SSE:600794,江苏金雪集团有限公司,江苏金雪,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200623706,SSE:600794,浙江万凯新材料有限公司,浙江万凯新材料,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200624186,SZSE:000939,上港集团物流有限公司工程物流分公司,上港集团物流有限公司工程物流分公司,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200624186,SZSE:000939,中国平煤神马集团集团有限公司,中国平煤神马集团,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200624186,SZSE:000939,伊顿电力设备有限公司,伊顿电力设备,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200624186,SZSE:000939,凯迪阳光生物能源投资有限公司,凯迪阳光生物能源投资,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200624186,SZSE:000939,国网安徽省电力公司,国网安徽省电力公司,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200624186,SZSE:000939,国网河南省电力公司,国网河南省电力公司,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200624186,SZSE:000939,国网湖北省电力公司,国网湖北省电力公司,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200624186,SZSE:000939,国网湖南省电力公司,国网湖南省电力公司,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200624186,SZSE:000939,宜兴市中环耐火材料有限公司,宜兴市中环耐火材料,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200624186,SZSE:000939,武汉凯迪电力工程有限公司,武汉凯迪电力工程,unresolved,,none,0.0,0,no_reproducible_candidate_passed_thresholds
1200625594,SZSE:000545,第一名,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200625594,SZSE:000545,第三名,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200625594,SZSE:000545,第二名,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200625594,SZSE:000545,第五名,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200625594,SZSE:000545,第四名,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200625927,SZSE:002006,供应商 1,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200625927,SZSE:002006,供应商 2,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200625927,SZSE:002006,供应商 3,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
1200625927,SZSE:002006,供应商 4,,anonymous,,blocked_anonymous,0.0,0,anonymous_label_blocked_by_rule
